Name,Type,Description,Location
Wheeling,National Heritage Area," The Wheeling National Heritage Area celebrates the city’s dramatic setting along the Ohio River, providing experiences in Victorian architecture, waterfront park development, historic city markets, renovated industrial buildings featuring retail shops, restaurants and interpretive exhibits, and West Virginia Independence Hall, the birthplace of the state of West Virginia during the Civil War. ","Wheeling, WV"
Apostle Islands,National Lakeshore," Along windswept beaches and cliffs, visitors experience where water meets land and sky, culture meets culture, and past meets present. The 21 islands and 12 miles of mainland host a unique blend of cultural and natural resources.  Lighthouses shine over Lake Superior and the new wilderness areas. Visitors can hike, paddle, sail, or cruise to experience these Jewels of Lake Superior. ","Lake Superior, WI"
Ice Age,National Scenic Trail," A mere 15,000 years ago during the Ice Age, much of North America lay under a huge glacier. Mammoths, saber tooth cats and cave lions roamed the earth! Some of the best evidence of this glacier is found in Wisconsin such as the state’s many lakes, river valleys, gently rolling hills, and ridges. The nearly 1,200 mile Ice Age National Scenic Trail, established in 1980, traces the glacier's edge. ","Madison, WI"
North Country,National Scenic Trail," Come to the North Country. Trek the hills and valleys. Lakes and streams remain from glaciers 10,000 years before. Here you’ll find clear-flowing water, the red and gold of autumn, a fairyland of snow, wide open prairies, and distant horizons. Historic sites along the way tell the story of how America settled and grew as a nation. From New York to North Dakota, you're never far from adventure. ","Seven States-New York to North Dakota MI,MN,ND,NY,OH,PA,WI"
Saint Croix,National Scenic Riverway," Grab your paddle and your longing for adventure and head to the St. Croix and Namekagon rivers! Together they form the St. Croix National Scenic Riverway, offering over 200 miles of clean water that glides and rushes through a forested landscape. Paddle, boat, fish, and camp among this wild and scenic beauty. Hiking and historic towns also beckon, if you can bear to leave the cool water. ","Saint Croix Falls, WI,MN"
Bighorn Canyon,National Recreation Area," The vast, wild landscape of Bighorn Canyon National Recreation Area offers visitors unparalleled opportunities to immerse themselves in the natural world, and experience the wonders of this extraordinary place. With over 120,000 acres, one can find an astounding diversity in ecosystems, wildlife, and more than 10,000 years of human history to explore. ","Fort Smith, MT,WY"
California,National Historic Trail," Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons. ","Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
Devils Tower,National Monument," The Tower is an astounding geologic feature that protrudes out of the prairie surrounding the Black Hills. It is considered sacred by Northern Plains Indians and indigenous people. Hundreds of parallel cracks make it one of the finest crack climbing areas in North America. Devils Tower entices us to learn more, explore more and define our place in the natural and cultural world. ","Devils Tower, WY"
Fort Laramie,National Historic Site," Originally established as a private fur trading fort in 1834, Fort Laramie evolved into the largest and best known military post on the Northern Plains before its abandonment in 1890. This “grand old post” witnessed the entire sweeping saga of America’s western expansion and Indian resistance to encroachment on their territories. ","Southeast Wyoming, WY"
Fossil Butte,National Monument," Some of the world's best preserved fossils are found in the flat-topped ridges of southwestern Wyoming's cold sagebrush desert. Fossilized fishes, insects, plants, reptiles, birds, and mammals are exceptional for their abundance, variety, and detail of preservation. Most remarkable is the story they tell of ancient life in a subtropical landscape. ","Kemmerer, WY"
Grand Teton,National Park," Rising above a scene rich with extraordinary wildlife, pristine lakes, and alpine terrain, the Teton Range stands monument to the people who fought to protect it. These are mountains of the imagination. Mountains that led to the creation of Grand Teton National Park where you can explore over two hundred miles of trails, float the Snake River or enjoy the serenity of this remarkable place. ","Moose, WY"
Mormon Pioneer,National Historic Trail," Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847. ","Various States IL,IA,NE,UT,WY"
Oregon,National Historic Trail," Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers. ","Various States ID,KS,MO,NE,OR,WA,WY"
Pony Express,National Historic Trail, It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph. ,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
Yellowstone,National Park," On March 1, 1872, Yellowstone became the first national park for all to enjoy the unique hydrothermal wonders. Preserved within are Earth's most active and diverse geysers, hot springs, mudpots, and fumaroles. ","Yellowstone National Park, ID,MT,WY"
